model,rmse,mae,r2
stacking_ensemble,0.12294562304130179,0.0887883884422532,0.8720770599457432
catboost,0.12512987167358194,0.08803099746210116,0.8674913326287825
lightgbm,0.12763863601581057,0.08803776414268345,0.8621246597908894
random_forest,0.1339883758534356,0.0896993017164748,0.8480654535875132
keras_mlp,0.14335172153938097,0.09958479090675633,0.8260885749882145
ridge,0.21923070406146877,0.17533233677939866,0.5932523568157179
historical_mean,0.28947733020169847,0.24690846349113257,0.29082828589211873
